2014-12-16 22:20:39,516 [33] INFO  DayKLog [(null)] - Line:243  code:000620,date:新华联 starting 
2014-12-16 22:20:39,551 [20] INFO  DayKLog [(null)] - Line:244  code:000981,date:银亿股份 starting 
2014-12-16 22:20:39,689 [11] INFO  DayKLog [(null)] - Line:245  code:000537,date:广宇发展 starting 
2014-12-16 22:20:39,758 [21] INFO  DayKLog [(null)] - Line:246  code:002244,date:滨江集团 starting 
2014-12-16 22:20:39,861 [1] INFO  DayKLog [(null)] - Line:247  code:600266,date:北京城建 starting 
2014-12-16 22:20:40,227 [25] INFO  DayKLog [(null)] - Line:248  code:600716,date:凤凰股份 starting 
2014-12-16 22:20:40,321 [24] INFO  DayKLog [(null)] - Line:249  code:002467,date:二六三 starting 
2014-12-16 22:20:40,497 [22] INFO  DayKLog [(null)] - Line:250  code:601992,date:金隅股份 starting 
2014-12-16 22:20:40,900 [28] INFO  DayKLog [(null)] - Line:251  code:002543,date:万和电气 starting 
2014-12-16 22:20:41,511 [34] INFO  DayKLog [(null)] - Line:252  code:002677,date:浙江美大 starting 
2014-12-16 22:20:41,918 [6] INFO  DayKLog [(null)] - Line:253  code:000918,date:嘉凯城 starting 
2014-12-16 22:20:42,106 [13] INFO  DayKLog [(null)] - Line:254  code:000988,date:华工科技 starting 
